,Name,Ticker,Price,Sector,MarketCap,PE,ROE,ROA
CXDO,"Crexendo, Inc.",CXDO,7.0,Technology,105459904,116.66667,0.2952,0.089540005
CYAN,Cyanotech Corporation,CYAN,2.18,Consumer Defensive,13141716,36.333336,0.02517,0.021429999
CYCC,CYCC,"Cyclacel Pharmaceuticals, Inc.",,,,,,
CYRN,CYRN,CYREN Ltd.,,,,,,
CYRX,CYRX,"CryoPort, Inc.",,,,,,
CZNC,Citizens & Northern Corp,CZNC,18.6,Financial Services,256813920,12.550608,0.08221,0.01214
DAIO,DAIO,Data I/O Corporation,,,,,,
DARE,DARE,"Dare Bioscience, Inc.",,,,,,
DBCP,Delmar Bancorp,DBCP,5.91,Financial Services,105252368,11.067416,0.06871,0.00684
DCOMP,DCOMP,"Dime Community Bancshares, Inc.",,,,,,
DCTH,DCTH,"Delcath Systems, Inc.",,,,,,
DENN,DENN,Denny's Corporation,,,,,,
DFFN,DFFN,Diffusion Pharmaceuticals Inc.,,,,,,
DFHTU,DFHTU,Deerfield Healthcare Technology Acquisitions Corp.,,,,,,
DFPH,DFPH,DFP Healthcare Acquisitions Corp.,,,,,,
DGLY,DGLY,"Digital Ally, Inc.",,,,,,
DJCO,DJCO,Daily Journal Corp. (S.C.),,,,,,
DLHC,DLH Holdings Corp.,DLHC,8.87,Industrials,109583528,19.32462,0.13008,0.0759
DLPNW,DLPNW,"Dolphin Entertainment, Inc.",,,,,,
DMAC,DMAC,DiaMedica Therapeutics Inc.,,,,,,
DMTK,DMTK,"DermTech, Inc.",,,,,,
DPHC,DPHC,DiamondPeak Holdings Corp.,,,,,,
DRIO,DRIO,DarioHealth Corp.,,,,,,
DRRX,DRRX,DURECT Corporation,,,,,,
DSKE,DSKE,"Daseke, Inc.",,,,,,
DUOT,DUOT,"Duos Technologies Group, Inc.",,,,,,
DVAX,DVAX,Dynavax Technologies Corporation,,,,,,
DYAI,DYAI,"Dyadic International, Inc.",,,,,,
DZSI,DZSI,"DASAN Zhone Solutions, Inc.",,,,,,
EAST,EAST,"Eastside Distilling, Inc.",,,,,,
ECOLW,ECOLW,"US Ecology, Inc.",,,,,,
EDNT,EDNT,"Edison Nation, Inc.",,,,,,
EDRY,EDRY,EuroDry Ltd.,,,,,,
EDSA,EDSA,"Edesa Biotech, Inc.",,,,,,
EFOI,EFOI,"Energy Focus, Inc.",,,,,,
EGAN,eGain Corporation,EGAN,9.92,Technology,304430912,58.011696,0.19715,0.04891
EGBN,"Eagle Bancorp, Inc.",EGBN,31.43,Financial Services,1012825472,8.417247,0.10446999,0.01342
EKSO,EKSO,"Ekso Bionics Holdings, Inc.",,,,,,
ELSE,Electro,ELSE,3.52,Technology,11952230,95.13513,0.0099599995,-0.00401
ELTK,Eltek Ltd.,ELTK,4.45,Technology,19492200,9.270833,0.53470004,0.04481
EMCF,Emclaire Financial Corp,EMCF,21.5,Financial Services,58237264,9.684685,0.0719,0.0064999997
ENG,ENGlobal Corporation,ENG,1.15,Industrials,31525640,52.272728,0.04113,0.016549999
ENLV,ENLV,Enlivex Therapeutics Ltd.,,,,,,
ENOB,ENOB,"Enochian Biosciences, Inc.",,,,,,
ENTX,ENTX,Entera Bio Ltd.,,,,,,
EPIX,EPIX,ESSA Pharma Inc.,,,,,,
ESBK,Elmira Savings Bank NY (The),ESBK,10.79,Financial Services,37896744,10.027882,0.06403,0.00587
ESEA,ESEA,Euroseas Ltd.,,,,,,
ESQ,"Esquire Financial Holdings, Inc.",ESQ,15.5,Financial Services,118876320,9.320505,0.11625,0.016180001
ESSC,ESSC,East Stone Acquisition Corporation,,,,,,
ESTA,ESTA,Establishment Labs Holdings Inc.,,,,,,
ESXB,Community Bankers Trust Corporation.,ESXB,5.0,Financial Services,111587000,8.333333,0.09146,0.00955
EVFM,EVFM,"Evofem Biosciences, Inc.",,,,,,
EVOK,EVOK,"Evoke Pharma, Inc.",,,,,,
EVOL,EVOL,"Evolving Systems, Inc.",,,,,,
EVSI,EVSI,"Envision Solar International, Inc.",,,,,,
EXAS,EXAS,Exact Sciences Corporation,,,,,,
EXPC,EXPC,Experience Investment Corp.,,,,,,
EYEG,EYEG,"Eyegate Pharmaceuticals, Inc.",,,,,,
EYEN,EYEN,"Eyenovia, Inc.",,,,,,
FAT,FAT,FAT Brands Inc.,,,,,,
FBIO,FBIO,"Fortress Biotech, Inc.",,,,,,
